keys,en,de,it,ja,pl,uk,es,bg,fr,pt_BR
TRAIN_INFO_ACCELERATION_2,"Acceleration (Apply: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], Release: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img]; Check: brakes, doors) (try with releasing full acceleration first/setting acceleration to zero)","Beschleunigung (Erhöhen: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], Verringern: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img]; Überprüfen: Bremsen, Türen) (Versuchen Sie die Beschleunigung auf Null zu setzen)","Accelerazione: (applica con [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], rilascia con [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img]; controlla freni e porte) (prova a rilasciare completamente)",力行: ([img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img]で力行、[img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img]で解除。ドアとブレーキを確認。) (力行をやめてみてください),"Gaz (Przyspiesz [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img] zwolnij: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img]; sprawdź drzwi i hamulce) (try with releasing full acceleration first/setting acceleration to zero)""","Прискорення (додати: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img]; відпустити: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img]; перевірте: гальма, двері) (спробуйте відпустити  гальма/знизити швидкість до нуля)","Aceleración (Aplicar: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], Liberar: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img]; Comprobar: frenos, puertas) (prueba con la liberación de la aceleración total primero/poniendo la aceleración a cero)","Ускорение (прилагане: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], освобождаване: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], проверете спирачките и вратите, ускорението трябва да е намалено до нула)","Accélération (Appliquer : [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], Relâcher : [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img] ; Contrôler : freins, portes) (essayer d'abord de relâcher l'accélération complète/régler l'accélération à zéro)","Aceleração (Aplicar: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], Soltar: [img=40]res://Data/Controller_Icon_Textures/acc+_texture.tres[/img], Verificar: freios, portas) (tente soltar toda a aceleração primeiro/definir aceleração para zero)"
TRAIN_INFO_HORN,Horn ([img=40]res://Data/Controller_Icon_Textures/Horn_texture.tres[/img]),Hupe ([img=40]res://Data/Controller_Icon_Textures/Horn_texture.tres[/img]),Tromba ([img=40]res://Data/Controller_Icon_Textures/Horn_texture.tres[/img]),警笛 ([img=40]res://Data/Controller_Icon_Textures/Horn_texture.tres[/img]),Klakson ([img=40]res://Data/Controller_Icon_Textures/Horn_texture.tres[/img]),Гудок ([img=40]res://Data/Controller_Icon_Textures/Horn_texture.tres[/img]),Silbato ([img=40]res://Data/Controller_Icon_Textures/Horn_texture.tres[/img]),Клаксон ([img=40]res://Data/Controller_Icon_Textures/Horn_texture.tres[/img]),Klaxon ([img=40]res://Data/Controller_Icon_Textures/Horn_texture.tres[/img]),Buzina ([img=40]res://Data/Controller_Icon_Textures/Horn_texture.tres[/img])
TRAIN_INFO_FRONT_LIGHT,Front Light ([img=40]res://Data/Controller_Icon_Textures/FrontLight_texture.tres[/img]),Spitzenlicht ([img=40]res://Data/Controller_Icon_Textures/FrontLight_texture.tres[/img]),Luci frontali ([img=40]res://Data/Controller_Icon_Textures/FrontLight_texture.tres[/img]),前方ライト ([img=40]res://Data/Controller_Icon_Textures/FrontLight_texture.tres[/img]),Przednie światłła ([img=40]res://Data/Controller_Icon_Textures/FrontLight_texture.tres[/img]),Переднє світло ([img=40]res://Data/Controller_Icon_Textures/FrontLight_texture.tres[/img]),Luces frontales ([img=40]res://Data/Controller_Icon_Textures/FrontLight_texture.tres[/img]),Предни светлини ([img=40]res://Data/Controller_Icon_Textures/FrontLight_texture.tres[/img]),Feu avant ([img=40]res://Data/Controller_Icon_Textures/FrontLight_texture.tres[/img]),Farol Dianteiro ([img=40]res://Data/Controller_Icon_Textures/FrontLight_texture.tres[/img])
TRAIN_INFO_CABIN_LIGHT,Cabin Light ([img=80]res://Data/Controller_Icon_Textures/InsideLight_texture.tres[/img]),Kabinenlicht ([img=80]res://Data/Controller_Icon_Textures/InsideLight_texture.tres[/img]),Luci cabina ([img=80]res://Data/Controller_Icon_Textures/InsideLight_texture.tres[/img]),室内電気 ('[img=80]res://Data/Controller_Icon_Textures/InsideLight_texture.tres[/img]),Światła Kabiny ([img=80]res://Data/Controller_Icon_Textures/InsideLight_texture.tres[/img]),Світло в кабіні ([img=80]res://Data/Controller_Icon_Textures/InsideLight_texture.tres[/img]),Luces de cabina ([img=80]res://Data/Controller_Icon_Textures/InsideLight_texture.tres[/img]),Осветление ([img=80]res://Data/Controller_Icon_Textures/InsideLight_texture.tres[/img]),Lumière de la cabine ([img=80]res://Data/Controller_Icon_Textures/InsideLight_texture.tres[/img]),Luz da Cabine ([img=80]res://Data/Controller_Icon_Textures/InsideLight_texture.tres[/img])
TRAIN_INFO_AUTOPILOT,Autopilot ([img=80]res://Data/Controller_Icon_Textures/autopilot_texture.tres[/img]),Autopilot ([img=80]res://Data/Controller_Icon_Textures/autopilot_texture.tres[/img]),Guida automatica ([img=80]res://Data/Controller_Icon_Textures/autopilot_texture.tres[/img]),自動運転 ([img=80]res://Data/Controller_Icon_Textures/autopilot_texture.tres[/img]),Autopilot ([img=80]res://Data/Controller_Icon_Textures/autopilot_texture.tres[/img]),Автопілот ([img=80]res://Data/Controller_Icon_Textures/autopilot_texture.tres[/img]),Piloto automático ([img=80]res://Data/Controller_Icon_Textures/autopilot_texture.tres[/img]),Автопилот ([img=80]res://Data/Controller_Icon_Textures/autopilot_texture.tres[/img]),Pilote automatique ([img=80]res://Data/Controller_Icon_Textures/autopilot_texture.tres[/img]),Piloto Automático ([img=80]res://Data/Controller_Icon_Textures/autopilot_texture.tres[/img])
TRAIN_INFO_ENGINE,Engines ([img=40]res://Data/Controller_Icon_Textures/engine_texture.tres[/img]; Check: Pantograph),Motoren ([img=40]res://Data/Controller_Icon_Textures/engine_texture.tres[/img]; Pantograf überprüfen),Motori ([img=40]res://Data/Controller_Icon_Textures/engine_texture.tres[/img]; Controlla: Pantografo),,Silniki ([img=40]res://Data/Controller_Icon_Textures/engine_texture.tres[/img]; Sprawdź: Pantograf),,Motores ([img=40]res://Data/Controller_Icon_Textures/engine_texture.tres[/img]; Chequea: Pantógrafo),Двигатели ([img=40]res://Data/Controller_Icon_Textures/engine_texture.tres[/img]),Moteurs ([img=40]res://Data/Controller_Icon_Textures/engine_texture.tres[/img] ; Contrôle : Pantographe),Motores ([img=40]res://Data/Controller_Icon_Textures/engine_texture.tres[/img])
TRAIN_INFO_REVERSER,"Reverser ([img=40]res://Data/Controller_Icon_Textures/reverser_minus_texture.tres[/img]: reverse, [img=40]res://Data/Controller_Icon_Textures/reverser_plus_texture.tres[/img]: forward)","Richtungswahl ([img=40]res://Data/Controller_Icon_Textures/reverser_minus_texture.tres[/img]: rückwärts, [img=40]res://Data/Controller_Icon_Textures/reverser_plus_texture.tres[/img]: vorwärts)","Inversione di marcia ([img=40]res://Data/Controller_Icon_Textures/reverser_minus_texture.tres[/img]: indietro, [img=40]res://Data/Controller_Icon_Textures/reverser_plus_texture.tres[/img]: avanti)",,,,"Marcha atrás ([img=40]res://Data/Controller_Icon_Textures/reverser_minus_texture.tres[/img]: marcha atrás, [img=40]res://Data/Controller_Icon_Textures/reverser_plus_texture.tres[/img]: adelante)","Скорости (задна: [img=40]res://Data/Controller_Icon_Textures/reverser_minus_texture.tres[/img], предна: [img=40]res://Data/Controller_Icon_Textures/reverser_plus_texture.tres[/img])","Inverseur ([img=40]res://Data/Controller_Icon_Textures/reverser_minus_texture.tres[/img] : marche arrière, [img=40]res://Data/Controller_Icon_Textures/reverser_plus_texture.tres[/img] : marche avant)","Reversor ([img=40]res://Data/Controller_Icon_Textures/reverser_plus_texture.tres[/img]: para trás, [img=40]res://Data/Controller_Icon_Textures/reverser_plus_texture.tres[/img]: para a frente)"
FORWARD,Forward,Vorwärts,Avanti,,,,Adelante,Предна,Avant,Frente
NEUTRAL,Neutral,Neutral,Folle,,,,Neutro,Неутрална,Neutre,Neutro
REVERSE,Reverse,Rückwärts,Indietro,,,,Marcha atrás,Задна,Marche arrière,Trás
JUMP_TO_STATION,Jump to station,Springe zu Station,Salta alla stazione,,,,Saltar estación,Прескачане до,Se rendre à la station,Ir para a estação
SELECT_STATION_TO_JUMP,Select station to jump to,"Bitte wählen Sie die Station aus, zu der Sie springen wollen",Seleziona la stazione a cui saltare,,,,Elegir estación para saltar,Изберете гара,Sélectionnez la station vers laquelle vous souhaitez vous rendre,Selecione a estação para onde ir
JUMP,Jump,Springen,Salta,,,,Saltar,Прескачане,Aller vers,Ir
CANCEL,Cancel,Abbrechen,Annulla,,,,Cancelar,Отказ,Annuler,Cancelar
WARNING_JUMPING_SCENARIO,"Warning: The scenario experience could differ from the normal one, bugs could appear.","Warnung: Die Szenario-Erfahrung könnte von der normalen abweichen, es könnten Fehler auftreten.","Attenzione: L’esperienza sullo scenario potrebbe differire da quella tipica, problemi del gioco potrebbero manifestarsi.",,,,"Advertencia: La experiencia del escenario podría ser distinta a la normal, podrían aparecer bugs.",Внимание: Това може да причини потенциални неизправности.,"Avertissement : L'expérience du scénario peut être différente de l'expérience normale, des bugs peuvent apparaître.","Aviso: A experiência do cenário pode divergir da experiência normal, podendo surgir bugs."
PZB_OVER_SPEED_LIMIT,You went over the PZB speed limit!,Sie haben die PZB Geschwindigkeitsbeschränkung überschritten!,Hai superato il limite di velocità del PZB! ,,,,¡Has superado el límite de velocidad del PZB!,Надвишихте ограничението за скорост на системата PZB!,Vous avez dépassé la limite de vitesse de la PZB (Influence ponctuelle sur les trains) !,Você ultrapassou o limite de velocidade do PZB!
PZB_ILLEGAL_FREE,You illegally freed yourself from PZB monitoring!,Sie haben sich ungültig aus der PZB Überwachung befreit!,Ti sei illegalmente escluso dal monitoraggio PZB!,,,,¡Te liberaste ilegalmente de la vigilancia de PZB!,Спряхте нелегално системата PZB!,Vous vous êtes illégalement libéré de la surveillance PZB (Influence ponctuelle sur les trains) !,Você se livrou ilegalmente do monitoramento de PZB!
PZB_PASSED_2000HZ,You passed an active 2000 Hz magnet!,Sie haben einen aktiven 2000 Hz Magnet überfahren!,Hai superato un magnete da 2000 Hz attivo!,,,,¡Has pasado un imán activo de 2000 Hz!,Преминахте през активен магнит от 2000 Hz!,Vous avez dépassé un aimant actif de 2000 Hz !,Você passou um ímã ativo de 2000 Hz!
EDITOR_SNAP_CONNECTOR,The angle between the rails is too steep to drive across.\nDo you want to automatically connect the rails to be drivable?,"Der Winkelunterschied zwischen den Gleis-Enden ist zu groß, um darüber zu fahren.\nWollen Sie die Gleise automatisch verbinden lassen?",L’angolo tra i binari è troppo ripido per permettere il transito.\nSi desidera collegare automaticamente i binari per renderli transitabili?,,,,El ángulo entre los raíles es demasiado pronunciado para cruzar. \ N¿Quieres conectar automáticamente los railes para que se puedan conducir?,Изкачването в този участък е твърде стръмно.\nИскате ли участъкът да бъде автоматично коригиран?,L'angle entre les rails est trop important pour être franchi.\n\nVous voulez connecter automatiquement les rails pour qu'ils soient praticables ?,O ângulo entre os trilhos é íngreme demais para seguir.\nDeseja conectar os trilhos automaticamente para que possa conduzir?
EDITOR_SNAP_CONNECTOR_TODO,"The angle between the rails is too steep to drive across.\nSnapping for complex cases is not implemented yet, please correct this yourself.","Der Winkelunterschied zwischen den Gleis-Enden ist zu groß, um darüber zu fahren.\nBedauerlicherweise kann Libre TrainSim dies bis zum jetzigen Zeitpunkt nicht alleine händeln. Bitte lösen Sie das Problem selbst.","L’angolo tra i binari è troppo ripido per permettere il transito.\nLo snap per casi complessi non è ancora implementato, si prega di correggere manualmente. ",,,,"El ángulo entre los raíles es demasiado pronunciado para cruzar. \ NTodavía no se implementó el ajuste para casos complejos, corríjelo tu mismo.",Изкачването в този участък е твърде стръмно.\nУчастъкът не може да бъде автоматично коригиран.,"L'angle entre les rails est trop important pour être franchi.\n\nL'écrasement pour les cas complexes n'est pas encore implémenté, veuillez le corriger vous-même.","O ângulo entre os trilhos é íngreme demais para seguir.\nO ajuste para casos complexos ainda não foi implementado, você deve corrigir por conta própria."
TEST_TRACK,Test track,Strecke testen,Prova tracciato,,,,Probar vía,Изпитание на линията,Test du parcours,Via de teste
EXPORT_TRACK,Export track,Strecke exportieren,Esporta tracciato,,,,Exportar vía,Изнасяне на линията,Exporter le parcours,Exportar via
